Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,6,1,12,7,False,False
2,1,True,22,3,19,5,False,False
3,1,True,7,4,13,6,False,False
4,2,True,15,1,27,7,False,False
5,2,True,2,4,31,6,False,False
6,2,True,4,1,11,9,False,False
7,2,True,13,1,30,2,True,True
8,3,True,6,3,2,4,True,False
9,3,True,19,6,3,8,False,False
10,3,True,15,3,10,5,False,False
11,3,True,20,4,26,5,True,False
12,3,True,21,6,12,3,False,False
13,3,True,18,2,22,3,False,False
14,3,True,17,5,5,1,False,False
15,3,True,14,7,25,2,False,False
16,3,True,8,1,16,3,False,False
17,3,True,9,4,32,3,False,False
18,3,True,28,2,7,7,False,False
19,3,True,4,2,29,6,False,False
20,3,True,30,2,23,3,False,False
21,3,True,1,2,24,4,False,False
22,5,True,13,4,32,7,False,False
23,5,True,25,3,4,5,False,False
24,5,True,3,5,2,1,False,False
25,5,True,27,4,10,3,False,False
26,5,True,17,3,26,7,False,False
27,5,True,20,4,12,5,False,False
28,5,True,31,2,18,3,False,False
29,5,True,19,5,22,3,False,False
30,5,True,21,1,5,7,False,False
31,5,True,15,3,6,2,True,False
32,5,True,28,4,16,3,False,False
33,5,True,8,5,14,2,False,False
34,5,True,9,5,7,4,True,False
35,5,True,29,5,11,6,False,False
36,5,True,1,3,23,1,False,False
37,5,True,30,8,24,4,False,False
38,6,True,31,5,19,1,False,False
39,7,True,7,8,3,4,False,False
40,7,True,26,4,2,1,False,False
41,7,True,16,5,20,3,False,False
42,7,True,32,2,18,5,False,False
43,7,True,10,2,27,3,False,False
44,7,True,12,2,21,1,False,False
45,7,True,17,3,8,4,False,False
46,7,True,25,4,29,5,False,False
47,7,True,13,3,14,6,False,False
48,7,True,28,3,6,2,False,False
49,8,True,16,1,27,5,False,False
50,8,True,24,1,15,2,False,False
51,8,True,11,10,19,2,False,False
52,8,True,26,5,31,7,False,False
53,8,True,30,0,4,2,False,False
54,8,True,14,2,9,7,False,False
55,8,True,5,3,23,2,True,True
56,8,True,22,7,1,5,False,False
57,9,True,20,2,3,7,False,False
58,9,True,12,4,10,3,True,False
59,9,True,6,0,25,5,False,False
60,9,True,4,3,28,2,False,False
61,10,False,19,0,27,0,False,False
62,10,False,16,0,15,0,False,False
63,10,False,24,0,20,0,False,False
64,10,False,12,0,17,0,False,False
65,10,False,11,0,18,0,False,False
66,10,False,32,0,21,0,False,False
67,10,False,7,0,8,0,False,False
68,10,False,29,0,9,0,False,False
69,10,False,2,0,30,0,False,False
70,10,False,5,0,1,0,False,False
71,10,False,22,0,13,0,False,False
72,11,False,26,0,10,0,False,False
73,11,False,14,0,31,0,False,False
74,11,False,29,0,6,0,False,False
75,11,False,23,0,28,0,False,False
76,12,False,12,0,3,0,False,False
77,12,False,18,0,20,0,False,False
78,12,False,11,0,17,0,False,False
79,12,False,24,0,27,0,False,False
80,12,False,19,0,15,0,False,False
81,12,False,14,0,21,0,False,False
82,12,False,26,0,8,0,False,False
83,12,False,9,0,25,0,False,False
84,12,False,16,0,32,0,False,False
85,12,False,2,0,7,0,False,False
86,12,False,5,0,13,0,False,False
87,12,False,4,0,30,0,False,False
88,12,False,22,0,23,0,False,False
89,13,False,29,0,31,0,False,False
90,13,False,11,0,10,0,False,False
91,13,False,1,0,6,0,False,False
92,13,False,2,0,28,0,False,False
93,14,False,14,0,19,0,False,False
94,14,False,24,0,21,0,False,False
