Number,Name,Abbre,City,GM Name,Messenger,Email,Arena,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacity #1,ArenaCapacity #2,ArenaCapacity #3,ArenaCapacity #4,ArenaCapacity #5,TicketPrice #1,TicketPrice #2,TicketPrice #3,TicketPrice #4,TicketPrice #5,Attendance #1,Attendance #2,Attendance #3,Attendance #4,Attendance #5,SeasonTicketPCT,Finance,Payroll,TotalPlayersSalaries,ExpensePerDay,TotalAttendance,TotalIncome,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,LinesLoad,PlayOffWinRound,LuxuryTaxeTotal,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Anaheim Ducks,ANA,Anaheim,,,,Honda Center,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5465,4199,1723,3900,877,40,8052014,3148956,67177751,349884,16164,1131645,80,82,39,False,23,0,0,0,,L1,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,10,12,1,0,1,0,0,0,0,0,5,7,9,3,20,5,1,89,91,36,25,22,42,0,2,2,6,0,4139,3738,2923,1567,2221,1368,0,10,18,28,51,56,39,71,26,53,27,50,0,
2,Boston Bruins,BOS,Boston,,,,TD Garden,Atlantic Division,Eastern Conference,0,0,0,6258,5000,2000,4000,1000,100,60,35,25,200,16653,13617,5649,10718,2916,40,10754188,2873160,65556012,341438,49553,3531185,101,82,38,False,30,0,0,0,,L2,1,3,0,0,0,0,0,4,0,3,0,1,0,0,0,2,10,18,3,0,2,0,1,0,0,0,6,12,18,7,20,9,0,103,134,41,26,39,36,2,2,5,2,1,5758,4793,3889,2124,2748,1963,0,10,14,24,42,67,41,85,39,80,27,55,0,
3,Buffalo Sabres,BUF,Buffalo,,,,KeyBank Center,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,15868,13388,5631,11711,2610,40,10640002,2883528,61515359,320392,49208,3401940,97,82,43,False,4,0,0,0,,W1,3,1,0,0,0,0,0,4,3,1,0,0,0,0,0,6,24,17,3,2,1,0,0,0,0,0,19,16,23,13,24,7,2,158,127,50,65,41,52,0,10,8,6,0,5173,5679,3548,1961,3810,1726,0,24,34,58,48,76,39,92,54,97,43,71,0,
4,Calgary Flames,CGY,Calgary,,,,Scotiabank Saddledome,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11797,9244,3545,7675,1934,40,9463431,3034656,67392261,351001,34195,2437090,144,82,41,False,22,0,0,0,,W3,3,2,0,0,0,0,0,5,3,2,0,0,0,0,0,6,13,20,2,2,0,0,0,0,0,0,7,3,22,3,17,6,1,140,153,54,32,51,57,0,1,6,6,0,6738,6308,4954,2425,3759,2553,1,13,19,32,36,95,51,118,47,114,37,67,0,
5,Carolina Hurricanes,CAR,Raleigh,,,,PNC Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11018,9802,3453,7319,1941,40,9113880,3326256,70960090,369584,33533,2381950,142,82,42,False,11,0,0,0,,W2,2,1,0,0,0,0,0,3,1,1,0,0,0,1,0,4,11,8,2,1,1,0,0,0,0,0,8,6,11,3,8,1,0,89,79,39,35,28,23,6,3,7,0,1,3790,4129,3181,1564,2567,1551,0,11,14,25,16,53,28,50,31,46,17,40,0,
6,Chicago Blackhawks,CHI,Chicago,,,,United Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11882,9136,3395,6910,1817,40,9695124,2793042,62188845,323900,33140,2391335,70,82,31,False,32,0,0,0,,L2,0,3,0,0,2,0,0,5,0,3,0,0,2,0,0,2,8,22,2,0,1,0,0,1,0,0,4,6,17,3,17,5,1,144,130,47,47,54,43,0,1,3,4,0,6388,6522,5148,2717,3921,2470,0,8,14,22,34,91,49,89,47,110,26,62,0,
7,Colorado Avalanche,COL,Denver,,,,Ball Arena,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10280,9679,3703,7344,1905,40,8984344,3406815,72678688,378535,32911,2302945,63,82,39,False,8,0,0,0,,W1,2,1,0,0,1,0,0,4,2,1,0,0,1,0,0,5,23,17,2,1,0,0,0,1,0,0,11,7,23,5,17,5,3,151,129,43,49,48,54,0,9,7,7,0,4992,5774,3646,1898,3720,1902,0,23,35,58,34,71,39,80,67,112,36,68,1,
8,Columbus Blue Jackets,CBJ,Columbus,,,,Nationwide Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,6000,4760,1974,4000,917,40,7978451,3338661,73795361,384351,17651,1238090,43,82,41,False,12,0,0,0,,W2,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,4,10,8,1,1,0,0,0,0,0,0,4,3,9,2,17,3,1,96,91,29,36,27,33,0,3,1,6,0,4352,3769,2679,1535,2412,1275,0,10,14,24,34,37,30,67,34,58,22,38,0,
9,Dallas Stars,DAL,Dallas,,,,American Airlines Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5924,4479,1760,4000,884,40,8052542,3263958,69631034,362662,17047,1199540,56,82,45,False,6,0,0,0,,W3,3,0,0,0,0,0,0,3,2,0,0,1,0,0,0,6,16,9,1,1,0,0,0,0,0,0,7,2,14,4,7,2,0,89,102,43,29,29,30,1,4,9,2,1,3899,4155,2758,1374,2684,1456,0,16,25,41,14,49,29,72,32,55,19,42,0,
10,Detroit Red Wings,DET,Detroit,,,,Little Caesars Arena,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,17374,14049,5463,10723,2908,40,10241658,3388446,72286870,376494,50517,3621220,166,82,36,False,17,0,0,0,,OTL1,1,2,0,0,1,0,0,4,1,2,0,0,1,0,0,3,13,14,3,1,1,0,0,1,0,0,11,11,20,7,21,3,0,116,124,44,33,41,42,0,2,5,6,0,5556,5169,3825,2073,3070,1912,0,13,24,37,42,75,53,92,48,103,28,60,0,
