Number,Transaction
1,[2025-08-15 8:50:08 AM] - Update Players Rating Files using SEASON 2023-24 & 2024-25 (100%)
2,[2025-08-15 8:50:08 AM] - Creator is Showtime Hockey
3,[2025-08-15 8:50:08 AM] - Creator Email is admin@showtimehockey.ca
4,[2025-08-15 8:50:08 AM] - Creator Comment is THANKS FOR DOWNLOAD
FOR THE STHS COMMUNITY - ENJOY!
PLAYERS RATINGS BY SHOWTIMEHOCKEY.CA
5,[2025-08-15 8:50:10 AM] - 1676 Players were imported correctly!
6,[2025-08-15 8:50:11 AM] - 177 Coaches were imported correctly!
7,[2025-08-15 8:50:11 AM] - 128 Referees were imported correctly!
8,[2025-08-15 8:50:11 AM] - The United Hockey Association was created successfully!
9,[2025-08-15 8:52:29 AM] - Farm Game Option - Finance Active Option Activated
10,[2025-08-15 8:52:30 AM] - Game Option - Full Farm Option Activated
11,[2025-08-15 9:03:43 AM] - Align League Function has been run.
12,[2025-08-15 9:04:43 AM] - Anaheim Ducks Messenger Address was changed to .
13,[2025-08-15 9:05:45 AM] - Anaheim Ducks hired Joel Quenneville for $1 for 1 year(s).
14,[2025-08-15 9:08:36 AM] - Boston Bruins hired Marco Sturm for $1 for 1 year(s).
15,[2025-08-15 10:40:05 AM] - San Diego Gulls hired Matt McIlvane for $1 for 1 year(s).
16,[2025-08-15 10:43:01 AM] - Rochester Americans hired Michael Leone for $1 for 1 year(s).
17,[2025-08-15 10:44:03 AM] - Buffalo Sabres hired Lindy Ruff for $1 for 1 year(s).
18,[2025-08-15 10:46:07 AM] - Calgary Flames hired Ryan Huska for $1 for 1 year(s).
19,[2025-08-15 10:47:26 AM] - Calgary Wranglers hired Trent Cull for $1 for 1 year(s).
20,[2025-08-15 10:49:19 AM] - Carolina Hurricanes hired Rod Brind'Amour for $1 for 1 year(s).
21,[2025-08-15 10:50:12 AM] - Charlotte Checkers hired Geordie Kinnear for $1 for 1 year(s).
22,[2025-08-15 10:52:26 AM] - Chicago Blackhawks hired Jeff Blashill for $1 for 1 year(s).
23,[2025-08-15 10:56:41 AM] - Colorado Avalanche hired Jared Bednar for $1 for 1 year(s).
24,[2025-08-15 10:58:43 AM] - Colorado Eagles hired Aaron Schneekloth for $1 for 1 year(s).
25,[2025-08-15 10:59:47 AM] - Team 8 Email Address was changed to .
26,[2025-08-15 11:00:20 AM] - Columbus Blue Jackets hired Dean Evason for $1 for 1 year(s).
27,[2025-08-15 11:01:27 AM] - Cleveland Monsters hired Trent Vogelhuber for $1 for 1 year(s).
28,[2025-08-15 11:04:54 AM] - Dallas Stars Messenger Address was changed to .
29,[2025-08-15 11:07:11 AM] - Dallas Stars hired Glen Gulutzan for $1 for 1 year(s).
30,[2025-08-15 11:11:51 AM] - Texas Stars hired Neil Graham for $1 for 1 year(s).
31,[2025-08-15 11:42:21 AM] - Detroit Red Wings hired Todd McLellan for $1 for 1 year(s).
32,[2025-08-15 11:43:11 AM] - Grand Rapids Griffins hired Dan Watson for $1 for 1 year(s).
33,[2025-08-15 11:44:00 AM] - Edmonton Oilers hired Kris Knoblauch for $1 for 1 year(s).
34,[2025-08-15 11:44:49 AM] - Bakersfield Condors hired Colin Chaulk for $1 for 1 year(s).
35,[2025-08-15 11:46:02 AM] - Florida Panthers hired Paul Maurice for $1 for 1 year(s).
36,[2025-08-15 11:48:57 AM] - Los Angeles Kings hired Jim Hiller for $1 for 1 year(s).
37,[2025-08-15 11:51:42 AM] - Minnesota Wild hired John Hynes for $1 for 1 year(s).
38,[2025-08-15 11:52:25 AM] - Iowa Wild hired Greg Cronin for $1 for 1 year(s).
39,[2025-08-15 11:54:16 AM] - Montreal Canadiens hired Martin St. Louis for $1 for 1 year(s).
40,[2025-08-15 11:55:03 AM] - Laval Rocket hired Pascal Vincent for $1 for 1 year(s).
41,[2025-08-15 11:56:12 AM] - Nashville Predators hired Andrew Brunette for $1 for 1 year(s).
42,[2025-08-15 11:56:59 AM] - Milwaukee Admirals hired Karl Taylor for $1 for 1 year(s).
43,[2025-08-15 11:58:13 AM] - New Jersey Devils hired Sheldon Keefe for $1 for 1 year(s).
44,[2025-08-15 11:59:00 AM] - Utica Comets hired Ryan Parent for $1 for 1 year(s).
45,[2025-08-15 12:00:51 PM] - New York Islanders hired Patrick Roy for $1 for 1 year(s).
46,[2025-08-15 12:01:39 PM] - Bridgeport Islanders hired Rocky Thompson for $1 for 1 year(s).
47,[2025-08-15 12:02:33 PM] - New York Rangers hired Mike Sullivan for $1 for 1 year(s).
48,[2025-08-15 12:03:21 PM] - Hartford Wolf Pack hired Grant Potulny for $1 for 1 year(s).
49,[2025-08-15 12:05:20 PM] - Ottawa Senators hired Travis Green for $1 for 1 year(s).
50,[2025-08-15 12:05:58 PM] - Belleville Senators hired David Bell for $1 for 1 year(s).
51,[2025-08-15 12:06:43 PM] - Philadelphia Flyers Email Address was changed to .
52,[2025-08-15 12:06:44 PM] - Philadelphia Flyers Messenger Address was changed to .
53,[2025-08-15 12:07:15 PM] - Philadelphia Flyers hired Rick Tocchet for $1 for 1 year(s).
54,[2025-08-15 12:08:40 PM] - Lehigh Valley Phantoms hired Ian Laperriere for $1 for 1 year(s).
55,[2025-08-15 12:10:29 PM] - Pittsburgh Penguins hired Dan Muse for $1 for 1 year(s).
56,[2025-08-15 12:12:22 PM] - Wilkes-Barre/Scranton Penguins hired Kirk MacDonald for $1 for 1 year(s).
57,[2025-08-15 12:13:15 PM] - San Jose Sharks hired Ryan Warsofsky for $1 for 1 year(s).
58,[2025-08-15 12:13:54 PM] - San Jose Barracuda hired John McCarthy for $1 for 1 year(s).
59,[2025-08-15 12:15:04 PM] - Seattle Kraken hired Lane Lambert for $1 for 1 year(s).
60,[2025-08-15 12:16:04 PM] - Coachella Valley Firebirds hired Derek Laxdal for $1 for 1 year(s).
61,[2025-08-15 1:21:39 PM] - St. Louis Blues hired Jim Montgomery for $1 for 1 year(s).
62,[2025-08-15 1:23:29 PM] - Springfield Thunderbirds hired Steve Konowalchuk for $1 for 1 year(s).
63,[2025-08-15 1:24:25 PM] - Tampa Bay Lightning hired Jon Cooper for $1 for 1 year(s).
64,[2025-08-15 1:25:09 PM] - Syracuse Crunch hired Joel Bouchard for $1 for 1 year(s).
65,[2025-08-15 1:26:28 PM] - Toronto Maple Leafs Email Address was changed to .
66,[2025-08-15 1:26:28 PM] - Toronto Maple Leafs Messenger Address was changed to .
67,[2025-08-15 1:26:54 PM] - Toronto Maple Leafs hired Craig Berube for $1 for 1 year(s).
68,[2025-08-15 1:27:58 PM] - Utah Mammoth hired Andre Tourigny for $1 for 1 year(s).
69,[2025-08-15 1:28:41 PM] - Tucson Roadrunners hired Steve Potvin for $1 for 1 year(s).
70,[2025-08-15 1:29:43 PM] - Vancouver Canucks hired Adam Foote for $1 for 1 year(s).
71,[2025-08-15 1:30:18 PM] - Abbotsford Canucks hired Manny Malhotra for $1 for 1 year(s).
72,[2025-08-15 1:31:24 PM] - Vegas Golden Knights hired Bruce Cassidy for $1 for 1 year(s).
73,[2025-08-15 1:32:06 PM] - Henderson Silver Knights hired Ryan Craig for $1 for 1 year(s).
74,[2025-08-15 1:33:09 PM] - Washington Capitals hired Spencer Carbery for $1 for 1 year(s).
75,[2025-08-15 1:33:55 PM] - Hershey Bears hired Derek King for $1 for 1 year(s).
76,[2025-08-15 1:35:45 PM] - Winnipeg Jets Email Address was changed to .
77,[2025-08-15 1:35:46 PM] - Winnipeg Jets Messenger Address was changed to .
78,[2025-08-15 1:36:11 PM] - Winnipeg Jets hired Scott Arniel for $1 for 1 year(s).
79,[2025-08-15 1:36:58 PM] - Manitoba Moose hired Mark Morrison for $1 for 1 year(s).
80,[2025-08-15 1:42:19 PM] - Align League Function has been run.
81,[2025-08-15 1:58:16 PM] - Align League Function has been run.
82,[2025-08-15 1:59:08 PM] - How many Teams in Farm Playoff Value Modified to 18
83,[2025-08-15 1:59:08 PM] - How many Teams in Farm Playoff Value Modified to 20
84,[2025-08-15 1:59:09 PM] - How many Teams in Farm Playoff Value Modified to 22
85,[2025-08-15 1:59:09 PM] - How many Teams in Farm Playoff Value Modified to 24
86,[2025-08-15 1:59:21 PM] - How many Teams in Farm Playoff Value Modified to 22
87,[2025-08-15 1:59:48 PM] - Farm Playoff Lengths Value Modified to 2
88,[2025-08-15 2:00:36 PM] - Block Free Agents from STHS Client Option Option Activated
89,[2025-08-15 2:00:45 PM] - Block Coaches Change Functions from STHS Client Option Activated
90,[2025-08-15 2:00:49 PM] - Allow Edition of Free Agents Offer from STHS Client Option Option Activated
91,[2025-08-15 2:00:56 PM] - Allow Next Year Free Agents from STHS Client Option Option Activated
92,[2025-08-15 2:00:58 PM] - Allow to see Players Free Agent Request from STHS Client Option Option Activated
93,[2025-08-15 2:01:01 PM] - Allow to see Players Free Agent Request from STHS Client Option Option Deactivated
94,[2025-08-15 2:01:06 PM] - Show Waivers and Coaches Transactions from STHS Client Option Activated
95,[2025-08-15 2:01:15 PM] - Number of Draft Picks By Year Value Value Modified to 5
96,[2025-08-15 2:01:17 PM] - Number of Draft Picks By Year Value Value Modified to 6
97,[2025-08-15 2:01:17 PM] - Number of Draft Picks By Year Value Value Modified to 6
98,[2025-08-15 2:01:19 PM] - Number of Draft Picks By Year Value Value Modified to 7
99,[2025-08-15 2:01:48 PM] - Farm Roster Player Limit Value Modified to 25
100,[2025-08-15 2:02:30 PM] - Players Maximum Farm Overall Value Modified to 99
101,[2025-08-15 2:02:45 PM] - Download SQLite Datatabases by HTTP Secure Method Option Deactivated
102,[2025-08-15 2:02:45 PM] - Allow Trades from Website Option Deactivated
103,[2025-08-15 2:02:46 PM] - Allow Free Agents from Website Option Deactivated
104,[2025-08-15 2:02:47 PM] - Output Free Agents Offers in SQLite Database Option Deactivated
105,[2025-08-15 2:02:48 PM] - Allow Draft Selection from Website Option Deactivated
106,[2025-08-15 2:02:49 PM] - Output Draft Selection in SQLite Database Option Deactivated
107,[2025-08-15 2:03:36 PM] - Download Lines Files by HTTP Option Deactivated
108,[2025-08-15 2:04:03 PM] - Farm Included in Salary Cap Option Activated
109,[2025-08-15 2:04:03 PM] - Special Include in Salary Cap Option Activated
110,[2025-08-15 2:04:59 PM] - Pro Players Game Option - Stats Change Active Option Activated
111,[2025-08-15 2:05:00 PM] - Pro Goalies Game Option - Stats Change Active Option Activated
112,[2025-08-15 2:05:02 PM] - Farm Game Option - Stats Change Active Option Activated
113,[2025-08-15 2:05:02 PM] - Farm Players Game Option - Stats Change Active Option Activated
114,[2025-08-15 2:05:03 PM] - Farm Goalies Game Option - Stats Change Active Option Activated
115,[2025-08-15 2:15:30 PM] - Pro Schedule has been created.
116,[2025-08-15 2:19:48 PM] - Pro Schedule Import Done.
117,[2025-08-15 2:21:37 PM] - Farm Schedule has been created.
118,[2025-08-15 2:24:10 PM] - Farm Schedule has been created.
119,[2025-08-15 2:24:55 PM] - Farm Schedule has been created.
120,[2025-08-15 2:25:07 PM] - Farm Schedule has been created.
121,[2025-08-15 2:25:10 PM] - Farm Schedule has been created.
122,[2025-08-15 2:37:08 PM] - Leon Draisaitl was added to Edmonton Oilers.
123,[2025-08-15 2:37:08 PM] - William Nylander was added to Toronto Maple Leafs.
124,[2025-08-15 2:37:08 PM] - Alex Ovechkin was added to Washington Capitals.
125,[2025-08-15 2:37:08 PM] - Tage Thompson was added to Buffalo Sabres.
126,[2025-08-15 2:37:08 PM] - David Pastrnak was added to Boston Bruins.
127,[2025-08-15 2:37:08 PM] - Brayden Point was added to Tampa Bay Lightning.
128,[2025-08-15 2:37:08 PM] - Kyle Connor was added to Winnipeg Jets.
129,[2025-08-15 2:37:08 PM] - Jake Guentzel was added to Tampa Bay Lightning.
130,[2025-08-15 2:37:08 PM] - Mark Scheifele was added to Winnipeg Jets.
131,[2025-08-15 2:37:08 PM] - Sam Reinhart was added to Florida Panthers.
