Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout,Link,Empty
1,1,True,17,5,27,2,False,False,UHA-Farm-1.html,
2,1,True,29,3,28,4,True,True,UHA-Farm-2.html,
3,1,True,25,2,19,13,False,False,UHA-Farm-3.html,
4,1,True,22,7,5,11,False,False,UHA-Farm-4.html,
5,1,True,16,2,10,25,False,False,UHA-Farm-5.html,
6,2,True,30,2,13,4,False,False,UHA-Farm-6.html,
7,2,True,21,17,31,0,False,False,UHA-Farm-7.html,
8,2,True,11,0,1,31,False,False,UHA-Farm-8.html,
9,2,True,12,27,24,0,False,False,UHA-Farm-9.html,
10,2,True,5,3,18,4,False,False,UHA-Farm-10.html,
11,2,True,10,23,23,5,False,False,UHA-Farm-11.html,
12,2,True,17,25,6,2,False,False,UHA-Farm-12.html,
13,2,True,14,25,26,28,False,False,UHA-Farm-13.html,
14,2,True,25,2,2,26,False,False,UHA-Farm-14.html,
15,3,True,30,25,32,9,False,False,UHA-Farm-15.html,
16,3,True,1,20,7,7,False,False,UHA-Farm-16.html,
17,3,True,3,1,15,6,False,False,UHA-Farm-17.html,
18,4,True,15,1,4,4,False,False,UHA-Farm-18.html,
19,4,True,6,3,20,4,True,True,UHA-Farm-19.html,
20,4,True,17,1,8,8,False,False,UHA-Farm-20.html,
21,5,True,23,7,9,3,False,False,UHA-Farm-21.html,
22,5,True,26,3,12,2,False,False,UHA-Farm-22.html,
23,5,True,14,5,16,2,False,False,UHA-Farm-23.html,
24,5,True,8,1,3,2,False,False,UHA-Farm-24.html,
25,5,True,4,5,11,4,True,True,UHA-Farm-25.html,
26,6,True,22,3,21,2,True,False,UHA-Farm-26.html,
27,6,True,18,1,29,4,False,False,UHA-Farm-27.html,
28,6,True,13,3,25,2,False,False,UHA-Farm-28.html,
29,6,True,19,2,30,6,False,False,UHA-Farm-29.html,
30,6,True,7,6,14,3,False,False,UHA-Farm-30.html,
31,6,True,5,5,17,3,False,False,UHA-Farm-31.html,
32,6,True,15,2,27,3,False,False,UHA-Farm-32.html,
33,6,True,10,1,24,0,True,True,UHA-Farm-33.html,
34,7,True,9,1,22,2,False,False,UHA-Farm-34.html,
35,7,True,18,3,2,5,False,False,UHA-Farm-35.html,
36,7,True,16,0,28,3,False,False,UHA-Farm-36.html,
37,7,True,23,4,31,5,True,True,UHA-Farm-37.html,
38,7,True,30,2,32,4,False,False,UHA-Farm-38.html,
39,8,True,26,4,20,3,True,False,UHA-Farm-39.html,
40,8,True,6,2,13,1,True,True,UHA-Farm-40.html,
41,8,True,21,2,1,3,True,False,UHA-Farm-41.html,
42,8,True,8,1,3,0,False,False,UHA-Farm-42.html,
43,8,True,24,1,11,3,False,False,UHA-Farm-43.html,
44,8,True,29,7,7,0,False,False,UHA-Farm-44.html,
45,8,True,25,4,19,3,True,True,UHA-Farm-45.html,
46,8,True,27,9,12,4,False,False,UHA-Farm-46.html,
47,8,True,10,2,4,0,False,False,UHA-Farm-47.html,
48,9,True,23,5,9,6,False,False,UHA-Farm-48.html,
49,9,True,17,5,15,3,False,False,UHA-Farm-49.html,
50,9,True,31,0,5,8,False,False,UHA-Farm-50.html,
51,9,True,4,3,16,6,False,False,UHA-Farm-51.html,
52,9,True,30,3,14,7,False,False,UHA-Farm-52.html,
53,9,True,3,1,8,4,False,False,UHA-Farm-53.html,
54,9,True,25,0,22,1,True,False,UHA-Farm-54.html,
55,9,True,32,9,6,4,False,False,UHA-Farm-55.html,
56,10,False,27,0,18,0,False,False,UHA-Farm-56.html,
57,10,False,31,0,26,0,False,False,UHA-Farm-57.html,
58,10,False,2,0,21,0,False,False,UHA-Farm-58.html,
59,10,False,13,0,29,0,False,False,UHA-Farm-59.html,
60,10,False,16,0,10,0,False,False,UHA-Farm-60.html,
61,10,False,11,0,23,0,False,False,UHA-Farm-61.html,
62,10,False,5,0,17,0,False,False,UHA-Farm-62.html,
63,10,False,7,0,28,0,False,False,UHA-Farm-63.html,
64,11,False,12,0,25,0,False,False,UHA-Farm-64.html,
65,11,False,19,0,30,0,False,False,UHA-Farm-65.html,
66,11,False,6,0,20,0,False,False,UHA-Farm-66.html,
67,11,False,29,0,1,0,False,False,UHA-Farm-67.html,
68,11,False,11,0,24,0,False,False,UHA-Farm-68.html,
69,11,False,2,0,9,0,False,False,UHA-Farm-69.html,
70,11,False,28,0,32,0,False,False,UHA-Farm-70.html,
71,11,False,15,0,14,0,False,False,UHA-Farm-71.html,
72,12,False,8,0,21,0,False,False,UHA-Farm-72.html,
73,12,False,5,0,18,0,False,False,UHA-Farm-73.html,
74,12,False,13,0,4,0,False,False,UHA-Farm-74.html,
75,12,False,10,0,22,0,False,False,UHA-Farm-75.html,
76,12,False,14,0,27,0,False,False,UHA-Farm-76.html,
77,13,False,26,0,3,0,False,False,UHA-Farm-77.html,
78,13,False,22,0,19,0,False,False,UHA-Farm-78.html,
79,13,False,1,0,7,0,False,False,UHA-Farm-79.html,
