InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Retire,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
1,0,Aaron Dell,https://www.nhl.com/player/8477180,0,CAN,1989-05-04,36,213,72,4,False,False,False,False,False,True,True,False,False,False,0,3904876,3904876,3904876,3904876,3904876,0,0,0,0,0,0,,0,100,0,8477180,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,69,75,69,77,68,67,69,68,67,69,68,76,90,21,40,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,Adam Scheel,https://www.nhl.com/player/8482642,0,USA,1999-05-01,26,192,75,2,False,False,False,False,False,True,True,False,False,False,0,2601597,2601597,2601597,0,0,0,0,0,0,0,0,,0,100,0,8482642,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,74,81,77,82,73,72,74,73,72,74,73,66,75,42,40,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,2,Adin Hill,https://www.nhl.com/player/8478499,30,CAN,1996-05-11,29,215,76,1,False,False,False,False,False,True,True,False,False,False,0,6698304,6698304,0,0,0,0,0,0,0,0,0,,0,100,0,8478499,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,94,87,82,89,93,93,95,94,93,94,93,72,83,53,47,87,4,14649,2,2,0,0,10,107,59,0,0,4,0,4,0,0,0,1,0,40,460,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,3,Akira Schmid,https://www.nhl.com/player/8481033,30,CHE,2000-05-12,25,190,77,4,False,False,False,False,False,True,True,False,False,False,0,2269712,2269712,2269712,2269712,2269712,0,0,0,0,0,0,,0,99,0,8481033,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,78,86,82,87,77,76,78,77,76,78,77,65,73,55,38,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16678,2,3,0,0,24,134,68,0,1,0,0,5,0,0,0,0,0,0,360,360,
5,4,Aleksei Kolosov,https://www.nhl.com/player/8482783,21,BLR,2002-01-04,23,185,73,2,False,False,False,False,False,True,True,False,False,False,0,2730813,2730813,2730813,0,0,0,0,0,0,0,0,,0,100,0,8482783,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,74,77,73,74,73,72,74,73,72,74,73,63,69,64,41,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10841,1,0,2,1,6,51,29,0,0,0,0,3,0,0,0,0,1,0,550,550,
6,5,Ales Stezka,https://www.nhl.com/player/8478848,0,CZE,1997-01-06,28,190,76,5,False,False,False,False,False,True,True,False,False,False,0,2832827,2832827,2832827,2832827,2832827,2832827,0,0,0,0,0,,0,100,0,8478848,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,75,81,76,84,74,73,75,74,73,75,74,68,81,55,40,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,6,Alex Lyon,https://www.nhl.com/player/8479312,10,USA,1992-12-09,32,196,73,2,False,False,False,False,False,True,True,False,False,False,0,6192638,6192638,6192638,0,0,0,0,0,0,0,0,,0,100,0,8479312,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,91,85,80,77,90,90,92,91,89,91,90,74,87,52,55,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14700,4,0,0,2,7,106,62,0,1,3,0,4,0,0,2,0,0,615,1995,1995,
8,7,Alex Nedeljkovic,https://www.nhl.com/player/8477968,22,USA,1996-01-07,29,203,72,4,False,False,False,False,False,True,True,False,False,False,0,3738730,3738730,3738730,3738730,3738730,0,0,0,0,0,0,,0,99,0,8477968,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,90,86,81,80,89,88,90,89,88,90,89,72,83,62,43,84,4,13236,2,2,0,0,16,114,61,0,0,0,0,4,0,0,1,0,0,40,440,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,8,Alexandar Georgiev,https://www.nhl.com/player/8480382,23,RUS,1996-02-10,29,178,73,4,False,False,False,False,False,True,True,False,False,False,0,5881855,5881855,5881855,5881855,5881855,0,0,0,0,0,0,,0,99,0,8480382,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,91,93,88,73,90,90,91,90,89,91,90,75,83,56,43,85,3,11100,1,1,1,0,7,94,59,0,0,3,1,3,0,0,0,1,0,240,540,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,9,Andrei Vasilevskiy,https://www.nhl.com/player/8476883,26,RUS,1994-07-25,31,228,76,5,False,False,False,False,False,True,True,False,False,False,0,5836987,5836987,5836987,5836987,5836987,5836987,0,0,0,0,0,,0,100,0,8476883,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,96,93,88,92,95,94,96,95,94,96,95,83,85,65,48,90,4,11746,3,0,0,0,12,102,55,0,1,0,0,4,0,0,0,0,1,0,420,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,10,Anthony Stolarz,https://www.nhl.com/player/8476932,27,USA,1994-01-20,31,243,78,4,False,False,False,False,False,True,True,False,False,False,0,6464476,6464476,6464476,6464476,6464476,0,0,0,0,0,0,,0,99,0,8476932,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,95,83,78,98,94,94,96,95,94,95,94,73,85,57,54,89,4,14400,4,0,0,0,7,112,45,0,0,0,0,4,0,0,0,0,2,520,1120,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,11,Anton Forsberg,https://www.nhl.com/player/8476341,20,SWE,1992-11-27,32,198,75,3,False,False,False,False,False,True,True,False,False,False,0,5449296,5449296,5449296,5449296,0,0,0,0,0,0,0,,0,99,0,8476341,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,88,82,77,83,87,86,88,87,86,88,87,76,87,52,36,83,1,1850,0,0,0,0,3,28,18,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,12,Artur Akhtyamov,https://www.nhl.com/player/8482515,0,RUS,2001-10-31,23,170,74,3,False,False,False,False,False,True,True,False,False,False,0,1655182,1655182,1655182,1655182,0,0,0,0,0,0,0,,0,100,0,8482515,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,72,76,72,74,71,70,72,71,70,72,71,64,71,59,40,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,13,Arturs Silovs,https://www.nhl.com/player/8481668,29,LVA,2001-03-22,24,203,76,4,False,False,False,False,False,True,True,False,False,False,0,2562112,2562112,2562112,2562112,2562112,0,0,0,0,0,0,,0,100,0,8481668,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,77,84,80,87,76,75,77,76,75,77,76,64,71,58,43,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
15,14,Arvid Soderblom,https://www.nhl.com/player/8482821,6,SWE,1999-08-19,26,180,75,1,False,False,False,False,False,True,True,False,False,False,0,2736500,2736500,0,0,0,0,0,0,0,0,0,,0,100,0,8482821,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,86,84,80,79,85,84,86,85,84,86,85,67,75,59,32,80,5,15557,0,3,2,0,18,107,51,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,15,Benjamin Gaudreau,https://www.nhl.com/player/8482729,0,CAN,2003-01-11,22,175,74,5,False,False,False,False,False,True,True,False,False,False,0,2288210,2288210,2288210,2288210,2288210,2288210,0,0,0,0,0,,0,100,0,8482729,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,64,71,67,75,63,62,64,63,62,64,63,62,67,65,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,16,Benjamin Kraws,https://www.nhl.com/player/8484835,0,USA,2000-08-02,25,194,77,2,False,False,False,False,False,True,True,False,False,False,0,1595737,1595737,1595737,0,0,0,0,0,0,0,0,,0,100,0,8484835,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,68,72,68,88,67,66,68,67,66,68,67,65,73,42,40,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,17,Brandon Bussi,https://www.nhl.com/player/8483548,0,USA,1998-06-25,27,209,77,3,False,False,False,False,False,True,True,False,False,False,0,2222909,2222909,2222909,2222909,0,0,0,0,0,0,0,,0,100,0,8483548,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,77,85,81,91,76,75,77,76,75,77,76,67,77,37,40,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,18,Brandon Halverson,https://www.nhl.com/player/8477990,0,USA,1996-03-29,29,235,77,3,False,False,False,False,False,True,True,False,False,False,0,4889378,4889378,4889378,4889378,0,0,0,0,0,0,0,,0,100,0,8477990,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,76,82,77,96,75,74,76,75,74,76,75,69,83,55,40,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,19,Brett Brochu,https://www.nhl.com/player/8482588,0,CAN,2002-09-09,23,161,71,3,False,False,False,False,False,True,True,False,False,False,0,1832637,1832637,1832637,1832637,0,0,0,0,0,0,0,,0,100,0,8482588,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,70,72,68,70,69,68,70,69,68,70,69,63,69,45,40,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
