Number,Transaction,DateTime,Empty
1,Update Players Rating Files using SEASON 2023-24 & 2024-25 (100%),2025-08-15 8:50:08 AM,
2,Creator is Showtime Hockey,2025-08-15 8:50:08 AM,
3,Creator Email is admin@showtimehockey.ca,2025-08-15 8:50:08 AM,
4,Creator Comment is THANKS FOR DOWNLOAD
FOR THE STHS COMMUNITY - ENJOY!
PLAYERS RATINGS BY SHOWTIMEHOCKEY.CA,2025-08-15 8:50:08 AM,
5,1676 Players were imported correctly!,2025-08-15 8:50:10 AM,
6,177 Coaches were imported correctly!,2025-08-15 8:50:11 AM,
7,128 Referees were imported correctly!,2025-08-15 8:50:11 AM,
8,The United Hockey Association was created successfully!,2025-08-15 8:50:11 AM,
9,Farm Game Option - Finance Active Option Activated,2025-08-15 8:52:29 AM,
10,Game Option - Full Farm Option Activated,2025-08-15 8:52:30 AM,
11,Align League Function has been run.,2025-08-15 9:03:43 AM,
12,Anaheim Ducks Messenger Address was changed to .,2025-08-15 9:04:43 AM,
13,Anaheim Ducks hired Joel Quenneville for $1 for 1 year(s).,2025-08-15 9:05:45 AM,
14,Boston Bruins hired Marco Sturm for $1 for 1 year(s).,2025-08-15 9:08:36 AM,
15,San Diego Gulls hired Matt McIlvane for $1 for 1 year(s).,2025-08-15 10:40:05 AM,
16,Rochester Americans hired Michael Leone for $1 for 1 year(s).,2025-08-15 10:43:01 AM,
17,Buffalo Sabres hired Lindy Ruff for $1 for 1 year(s).,2025-08-15 10:44:03 AM,
18,Calgary Flames hired Ryan Huska for $1 for 1 year(s).,2025-08-15 10:46:07 AM,
19,Calgary Wranglers hired Trent Cull for $1 for 1 year(s).,2025-08-15 10:47:26 AM,
20,Carolina Hurricanes hired Rod Brind'Amour for $1 for 1 year(s).,2025-08-15 10:49:19 AM,
21,Charlotte Checkers hired Geordie Kinnear for $1 for 1 year(s).,2025-08-15 10:50:12 AM,
22,Chicago Blackhawks hired Jeff Blashill for $1 for 1 year(s).,2025-08-15 10:52:26 AM,
23,Colorado Avalanche hired Jared Bednar for $1 for 1 year(s).,2025-08-15 10:56:41 AM,
24,Colorado Eagles hired Aaron Schneekloth for $1 for 1 year(s).,2025-08-15 10:58:43 AM,
25,Team 8 Email Address was changed to .,2025-08-15 10:59:47 AM,
26,Columbus Blue Jackets hired Dean Evason for $1 for 1 year(s).,2025-08-15 11:00:20 AM,
27,Cleveland Monsters hired Trent Vogelhuber for $1 for 1 year(s).,2025-08-15 11:01:27 AM,
28,Dallas Stars Messenger Address was changed to .,2025-08-15 11:04:54 AM,
29,Dallas Stars hired Glen Gulutzan for $1 for 1 year(s).,2025-08-15 11:07:11 AM,
30,Texas Stars hired Neil Graham for $1 for 1 year(s).,2025-08-15 11:11:51 AM,
31,Detroit Red Wings hired Todd McLellan for $1 for 1 year(s).,2025-08-15 11:42:21 AM,
32,Grand Rapids Griffins hired Dan Watson for $1 for 1 year(s).,2025-08-15 11:43:11 AM,
33,Edmonton Oilers hired Kris Knoblauch for $1 for 1 year(s).,2025-08-15 11:44:00 AM,
34,Bakersfield Condors hired Colin Chaulk for $1 for 1 year(s).,2025-08-15 11:44:49 AM,
35,Florida Panthers hired Paul Maurice for $1 for 1 year(s).,2025-08-15 11:46:02 AM,
36,Los Angeles Kings hired Jim Hiller for $1 for 1 year(s).,2025-08-15 11:48:57 AM,
37,Minnesota Wild hired John Hynes for $1 for 1 year(s).,2025-08-15 11:51:42 AM,
38,Iowa Wild hired Greg Cronin for $1 for 1 year(s).,2025-08-15 11:52:25 AM,
39,Montreal Canadiens hired Martin St. Louis for $1 for 1 year(s).,2025-08-15 11:54:16 AM,
40,Laval Rocket hired Pascal Vincent for $1 for 1 year(s).,2025-08-15 11:55:03 AM,
41,Nashville Predators hired Andrew Brunette for $1 for 1 year(s).,2025-08-15 11:56:12 AM,
42,Milwaukee Admirals hired Karl Taylor for $1 for 1 year(s).,2025-08-15 11:56:59 AM,
43,New Jersey Devils hired Sheldon Keefe for $1 for 1 year(s).,2025-08-15 11:58:13 AM,
44,Utica Comets hired Ryan Parent for $1 for 1 year(s).,2025-08-15 11:59:00 AM,
45,New York Islanders hired Patrick Roy for $1 for 1 year(s).,2025-08-15 12:00:51 PM,
46,Bridgeport Islanders hired Rocky Thompson for $1 for 1 year(s).,2025-08-15 12:01:39 PM,
47,New York Rangers hired Mike Sullivan for $1 for 1 year(s).,2025-08-15 12:02:33 PM,
48,Hartford Wolf Pack hired Grant Potulny for $1 for 1 year(s).,2025-08-15 12:03:21 PM,
49,Ottawa Senators hired Travis Green for $1 for 1 year(s).,2025-08-15 12:05:20 PM,
50,Belleville Senators hired David Bell for $1 for 1 year(s).,2025-08-15 12:05:58 PM,
51,Philadelphia Flyers Email Address was changed to .,2025-08-15 12:06:43 PM,
52,Philadelphia Flyers Messenger Address was changed to .,2025-08-15 12:06:44 PM,
53,Philadelphia Flyers hired Rick Tocchet for $1 for 1 year(s).,2025-08-15 12:07:15 PM,
54,Lehigh Valley Phantoms hired Ian Laperriere for $1 for 1 year(s).,2025-08-15 12:08:40 PM,
55,Pittsburgh Penguins hired Dan Muse for $1 for 1 year(s).,2025-08-15 12:10:29 PM,
56,Wilkes-Barre/Scranton Penguins hired Kirk MacDonald for $1 for 1 year(s).,2025-08-15 12:12:22 PM,
57,San Jose Sharks hired Ryan Warsofsky for $1 for 1 year(s).,2025-08-15 12:13:15 PM,
58,San Jose Barracuda hired John McCarthy for $1 for 1 year(s).,2025-08-15 12:13:54 PM,
59,Seattle Kraken hired Lane Lambert for $1 for 1 year(s).,2025-08-15 12:15:04 PM,
60,Coachella Valley Firebirds hired Derek Laxdal for $1 for 1 year(s).,2025-08-15 12:16:04 PM,
61,St. Louis Blues hired Jim Montgomery for $1 for 1 year(s).,2025-08-15 1:21:39 PM,
62,Springfield Thunderbirds hired Steve Konowalchuk for $1 for 1 year(s).,2025-08-15 1:23:29 PM,
63,Tampa Bay Lightning hired Jon Cooper for $1 for 1 year(s).,2025-08-15 1:24:25 PM,
64,Syracuse Crunch hired Joel Bouchard for $1 for 1 year(s).,2025-08-15 1:25:09 PM,
65,Toronto Maple Leafs Email Address was changed to .,2025-08-15 1:26:28 PM,
66,Toronto Maple Leafs Messenger Address was changed to .,2025-08-15 1:26:28 PM,
67,Toronto Maple Leafs hired Craig Berube for $1 for 1 year(s).,2025-08-15 1:26:54 PM,
68,Utah Mammoth hired Andre Tourigny for $1 for 1 year(s).,2025-08-15 1:27:58 PM,
69,Tucson Roadrunners hired Steve Potvin for $1 for 1 year(s).,2025-08-15 1:28:41 PM,
70,Vancouver Canucks hired Adam Foote for $1 for 1 year(s).,2025-08-15 1:29:43 PM,
71,Abbotsford Canucks hired Manny Malhotra for $1 for 1 year(s).,2025-08-15 1:30:18 PM,
72,Vegas Golden Knights hired Bruce Cassidy for $1 for 1 year(s).,2025-08-15 1:31:24 PM,
73,Henderson Silver Knights hired Ryan Craig for $1 for 1 year(s).,2025-08-15 1:32:06 PM,
74,Washington Capitals hired Spencer Carbery for $1 for 1 year(s).,2025-08-15 1:33:09 PM,
75,Hershey Bears hired Derek King for $1 for 1 year(s).,2025-08-15 1:33:55 PM,
76,Winnipeg Jets Email Address was changed to .,2025-08-15 1:35:45 PM,
77,Winnipeg Jets Messenger Address was changed to .,2025-08-15 1:35:46 PM,
78,Winnipeg Jets hired Scott Arniel for $1 for 1 year(s).,2025-08-15 1:36:11 PM,
79,Manitoba Moose hired Mark Morrison for $1 for 1 year(s).,2025-08-15 1:36:58 PM,
80,Align League Function has been run.,2025-08-15 1:42:19 PM,
81,Align League Function has been run.,2025-08-15 1:58:16 PM,
82,How many Teams in Farm Playoff Value Modified to 18,2025-08-15 1:59:08 PM,
83,How many Teams in Farm Playoff Value Modified to 20,2025-08-15 1:59:08 PM,
84,How many Teams in Farm Playoff Value Modified to 22,2025-08-15 1:59:09 PM,
85,How many Teams in Farm Playoff Value Modified to 24,2025-08-15 1:59:09 PM,
86,How many Teams in Farm Playoff Value Modified to 22,2025-08-15 1:59:21 PM,
87,Farm Playoff Lengths Value Modified to 2,2025-08-15 1:59:48 PM,
88,Block Free Agents from STHS Client Option Option Activated,2025-08-15 2:00:36 PM,
89,Block Coaches Change Functions from STHS Client Option Activated,2025-08-15 2:00:45 PM,
90,Allow Edition of Free Agents Offer from STHS Client Option Option Activated,2025-08-15 2:00:49 PM,
91,Allow Next Year Free Agents from STHS Client Option Option Activated,2025-08-15 2:00:56 PM,
92,Allow to see Players Free Agent Request from STHS Client Option Option Activated,2025-08-15 2:00:58 PM,
93,Allow to see Players Free Agent Request from STHS Client Option Option Deactivated,2025-08-15 2:01:01 PM,
94,Show Waivers and Coaches Transactions from STHS Client Option Activated,2025-08-15 2:01:06 PM,
95,Number of Draft Picks By Year Value Value Modified to 5,2025-08-15 2:01:15 PM,
96,Number of Draft Picks By Year Value Value Modified to 6,2025-08-15 2:01:17 PM,
97,Number of Draft Picks By Year Value Value Modified to 6,2025-08-15 2:01:17 PM,
98,Number of Draft Picks By Year Value Value Modified to 7,2025-08-15 2:01:19 PM,
99,Farm Roster Player Limit Value Modified to 25,2025-08-15 2:01:48 PM,
100,Players Maximum Farm Overall Value Modified to 99,2025-08-15 2:02:30 PM,
101,Download SQLite Datatabases by HTTP Secure Method Option Deactivated,2025-08-15 2:02:45 PM,
102,Allow Trades from Website Option Deactivated,2025-08-15 2:02:45 PM,
103,Allow Free Agents from Website Option Deactivated,2025-08-15 2:02:46 PM,
104,Output Free Agents Offers in SQLite Database Option Deactivated,2025-08-15 2:02:47 PM,
105,Allow Draft Selection from Website Option Deactivated,2025-08-15 2:02:48 PM,
106,Output Draft Selection in SQLite Database Option Deactivated,2025-08-15 2:02:49 PM,
107,Download Lines Files by HTTP Option Deactivated,2025-08-15 2:03:36 PM,
108,Farm Included in Salary Cap Option Activated,2025-08-15 2:04:03 PM,
109,Special Include in Salary Cap Option Activated,2025-08-15 2:04:03 PM,
110,Pro Players Game Option - Stats Change Active Option Activated,2025-08-15 2:04:59 PM,
111,Pro Goalies Game Option - Stats Change Active Option Activated,2025-08-15 2:05:00 PM,
112,Farm Game Option - Stats Change Active Option Activated,2025-08-15 2:05:02 PM,
113,Farm Players Game Option - Stats Change Active Option Activated,2025-08-15 2:05:02 PM,
114,Farm Goalies Game Option - Stats Change Active Option Activated,2025-08-15 2:05:03 PM,
115,Pro Schedule has been created.,2025-08-15 2:15:30 PM,
116,Pro Schedule Import Done.,2025-08-15 2:19:48 PM,
117,Farm Schedule has been created.,2025-08-15 2:21:37 PM,
118,Farm Schedule has been created.,2025-08-15 2:24:10 PM,
119,Farm Schedule has been created.,2025-08-15 2:24:55 PM,
120,Farm Schedule has been created.,2025-08-15 2:25:07 PM,
