InternalNumber,UniqueID,Name,URLLink,Team,Country,AgeDate,Age,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,ExcludeFromSalaryCap,ProSalaryInFarm,StarPower,SalaryAverage,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,NHLID,DraftYear,DraftOverallPick,DraftOriginalTeam,Retire,Jersey,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProSecondPlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPSecondPlay,ProPKG,ProPKA,ProPKShots,ProPKSecondPlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmSecondPlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPSecondPlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKSecondPlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,Empty6
1,0,A.J. Greer,https://www.nhl.com/player/8478421,12,CAN,1996-12-14,28,209,75,False,True,False,False,2,False,False,False,False,False,True,True,False,False,False,0,2407000,2407000,2407000,0,0,0,0,0,0,0,0,,0,100,0,8478421,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,80,76,68,66,85,74,86,64,57,60,62,63,65,70,71,61,48,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,4,10,9,12,10,1,4,9,4,1,0,0,4,11,0,0,0,3281,1,0,0,1,389,0,0,0,24,8,5,561,1,1,0,0,0,0,1,1,0,0,0,2100,2100,
2,1,Aaron Ekblad,https://www.nhl.com/player/8477932,12,CAN,1996-02-07,29,220,76,False,False,False,True,5,False,False,False,False,False,True,True,False,False,False,0,3263000,3263000,3263000,3263000,3263000,3263000,0,0,0,0,0,,0,100,0,8477932,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,75,41,73,71,90,93,80,70,30,80,61,84,53,77,71,74,46,74,5,5,0,1,1,3,8,0,9,4,2,7,18,0,0,0,0,0,0,0,6221,0,0,0,1,983,0,0,0,714,0,5,450,0,0,0,0,0,0,25,315,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,
3,2,Aaron Ness,https://www.nhl.com/player/8474604,0,USA,1990-05-18,35,184,70,False,False,False,True,3,False,False,False,False,False,True,True,False,False,False,0,1774000,1774000,1774000,1774000,0,0,0,0,0,0,0,,0,100,0,8474604,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,58,38,85,55,67,63,82,54,30,56,53,54,45,75,80,39,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,3,Aatu Jamsen,https://www.nhl.com/player/8482466,0,FIN,2003-07-22,22,154,73,False,False,True,False,3,False,False,False,False,False,True,True,False,False,False,0,1135000,1135000,1135000,1135000,0,0,0,0,0,0,0,,0,100,0,8482466,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,58,37,87,56,68,65,66,55,52,53,58,54,57,62,64,49,40,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,4,Aatu Raty,https://www.nhl.com/player/8482691,29,FIN,2002-11-14,22,190,74,True,False,False,False,4,False,False,False,False,False,True,True,False,False,False,0,2477000,2477000,2477000,2477000,2477000,0,0,0,0,0,0,,0,100,0,8482691,0,0,0,False,0,1,0,0,0,0,0,0,0,0,0,73,39,85,65,78,80,88,63,83,64,66,61,66,63,65,71,45,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,6,1,7,3,0,0,0,2,9,4,4,1,0,33,52,0,1,0,4028,1,2,0,3,548,0,0,0,184,14,3,908,0,0,0,1,1,0,3,3,0,0,415,1730,1730,
6,5,Adam Beckman,https://www.nhl.com/player/8481550,0,CAN,2001-05-10,24,182,74,False,True,False,False,2,False,False,False,False,False,True,True,False,False,False,0,2717000,2717000,2717000,0,0,0,0,0,0,0,0,,0,100,0,8481550,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,67,38,83,65,77,87,82,64,58,63,60,62,61,65,66,67,40,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,6,Adam Boqvist,https://www.nhl.com/player/8480871,18,SWE,2000-08-15,25,191,72,False,False,False,True,5,False,False,False,False,False,True,True,False,False,False,0,1645000,1645000,1645000,1645000,1645000,1645000,0,0,0,0,0,,0,100,0,8480871,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,60,35,95,73,71,87,72,70,30,75,62,64,53,66,68,84,42,67,3,3,0,0,0,-2,0,0,2,1,1,1,4,0,0,0,0,0,0,0,2638,0,0,0,0,0,0,0,0,268,1,0,115,0,0,0,0,0,0,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,
8,7,Adam Edstrom,https://www.nhl.com/player/8481726,19,SWE,2000-10-12,24,241,79,True,False,False,False,4,False,False,False,False,False,True,True,False,False,False,0,2629000,2629000,2629000,2629000,2629000,0,0,0,0,0,0,,0,100,0,8481726,0,0,0,False,0,3,0,0,0,0,0,0,0,0,0,86,53,86,62,99,79,80,63,65,60,61,64,62,65,67,47,40,65,5,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,956,0,0,0,0,0,0,0,0,224,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,
9,8,Adam Engstrom,https://www.nhl.com/player/8483686,0,SWE,2003-11-17,21,193,74,False,False,False,True,5,False,False,False,False,False,True,True,False,False,False,0,1646000,1646000,1646000,1646000,1646000,1646000,0,0,0,0,0,,0,100,0,8483686,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,70,40,81,57,79,71,72,56,30,60,54,58,46,62,64,63,40,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,9,Adam Erne,https://www.nhl.com/player/8477454,0,USA,1995-04-20,30,215,73,False,True,False,False,3,False,False,False,False,False,True,True,False,False,False,0,3353000,3353000,3353000,3353000,0,0,0,0,0,0,0,,0,100,0,8477454,0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,71,69,82,58,80,73,72,57,52,56,53,59,55,70,72,62,40,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
