Number,Name,Abbre,City,GM Name,Messenger,Email,Arena,Division,Conference,Captain,Assistant #1,Assistant #2,ArenaCapacityL1,ArenaCapacityL2,ArenaCapacityL3,ArenaCapacityL4,ArenaCapacityL5,TicketPriceL1,TicketPriceL2,TicketPriceL3,TicketPriceL4,TicketPriceL5,AttendanceL1,AttendanceL2,AttendanceL3,AttendanceL4,AttendanceL5,SpecialSalaryCapY1,SpecialSalaryCapY2,SpecialSalaryCapY3,SpecialSalaryCapY4,SpecialSalaryCapY5,SpecialSalaryCapY6,SpecialSalaryCapY7,SpecialSalaryCapY8,SpecialSalaryCapY9,SpecialSalaryCapY10,ScheduleGameInAYear,SalaryCapToDate,SalaryCapPerDay,TotalPlayersSalaries,TotalPlayersSalariesAverage,Expenses Per Days,TotalAttendance,TotalIncome,ExpenseThisSeason,SeasonTicketPCT,TeamPopularity,Finance,LuxuryTaxeTotal,CoachID,Empty4,Morale,PowerRanking,LinesLoad,LastLoadFileDate,StandingPlayoffTitle,DidNotMakePlayoff,PlayOffWinRound,PlayOffEliminated,UniqueID,EstimatedRevenue,EstimatedSeasonExpense,TotalSalaryCap,Empty5,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Anaheim Ducks,ANA,Anaheim,,,,Honda Center,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5465,4199,1723,3900,877,0,0,0,0,0,0,0,0,0,0,82,3148956,349884,67177751,67177751,349884,16164,1131645,3148956,40,100,8052014,0,80,,39,23,0,,,False,0,False,1,45265800,64028772,69178368,,L1,1,2,0,0,0,0,0,3,1,2,0,0,0,0,0,2,10,12,1,0,1,0,0,0,0,0,5,7,9,3,20,5,1,89,91,36,25,22,42,0,2,2,6,0,4139,3738,2923,1567,2221,1368,0,10,18,28,51,56,39,71,26,53,27,50,0
2,Boston Bruins,BOS,Boston,,,,TD Garden,Atlantic Division,Eastern Conference,0,0,0,6258,5000,2000,4000,1000,100,60,35,25,200,16653,13617,5649,10718,2916,0,0,0,0,0,0,0,0,0,0,82,2873160,341438,65556012,65556012,341438,49553,3531185,2873160,40,100,10754188,0,101,,38,30,0,,,False,0,False,2,44728343,62483154,66651930,,L2,1,3,0,0,0,0,0,4,0,3,0,1,0,0,0,2,10,18,3,0,2,0,1,0,0,0,6,12,18,7,20,9,0,103,134,41,26,39,36,2,2,5,2,1,5758,4793,3889,2124,2748,1963,0,10,14,24,42,67,41,85,39,80,27,55,0
3,Buffalo Sabres,BUF,Buffalo,,,,KeyBank Center,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,15868,13388,5631,11711,2610,0,0,0,0,0,0,0,0,0,0,82,2883528,320392,61515359,61515359,320392,49208,3401940,2883528,40,100,10640002,0,97,,43,4,0,,,False,0,False,3,43091240,58631736,62189184,,W1,3,1,0,0,0,0,0,4,3,1,0,0,0,0,0,6,24,17,3,2,1,0,0,0,0,0,19,16,23,13,24,7,2,158,127,50,65,41,52,0,10,8,6,0,5173,5679,3548,1961,3810,1726,0,24,34,58,48,76,39,92,54,97,43,71,0
4,Calgary Flames,CGY,Calgary,,,,Scotiabank Saddledome,Pacific Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11797,9244,3545,7675,1934,0,0,0,0,0,0,0,0,0,0,82,3034656,351001,67392261,67392261,351001,34195,2437090,3034656,40,100,9463431,0,144,,41,22,0,,,False,0,False,4,47523255,64233183,68918997,,W3,3,2,0,0,0,0,0,5,3,2,0,0,0,0,0,6,13,20,2,2,0,0,0,0,0,0,7,3,22,3,17,6,1,140,153,54,32,51,57,0,1,6,6,0,6738,6308,4954,2425,3759,2553,1,13,19,32,36,95,51,118,47,114,37,67,0
5,Carolina Hurricanes,CAR,Raleigh,,,,PNC Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11018,9802,3453,7319,1941,0,0,0,0,0,0,0,0,0,0,82,3326256,369584,70960090,70960090,369584,33533,2381950,3326256,40,100,9113880,0,142,,42,11,0,,,False,0,False,5,46448025,67633872,73094400,,W2,2,1,0,0,0,0,0,3,1,1,0,0,0,1,0,4,11,8,2,1,1,0,0,0,0,0,8,6,11,3,8,1,0,89,79,39,35,28,23,6,3,7,0,1,3790,4129,3181,1564,2567,1551,0,11,14,25,16,53,28,50,31,46,17,40,0
6,Chicago Blackhawks,CHI,Chicago,,,,United Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,11882,9136,3395,6910,1817,0,0,0,0,0,0,0,0,0,0,82,2793042,323900,62188845,62188845,323900,33140,2391335,2793042,40,100,9695124,0,70,,31,32,0,,,False,0,False,6,46631032,59273700,63114786,,L2,0,3,0,0,2,0,0,5,0,3,0,0,2,0,0,2,8,22,2,0,1,0,0,1,0,0,4,6,17,3,17,5,1,144,130,47,47,54,43,0,1,3,4,0,6388,6522,5148,2717,3921,2470,0,8,14,22,34,91,49,89,47,110,26,62,0
7,Colorado Avalanche,COL,Denver,,,,Ball Arena,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,10280,9679,3703,7344,1905,0,0,0,0,0,0,0,0,0,0,82,3406815,378535,72678688,72678688,378535,32911,2302945,3406815,40,100,8984344,0,63,,39,8,0,,,False,0,False,7,44907428,69271905,74293248,,W1,2,1,0,0,1,0,0,4,2,1,0,0,1,0,0,5,23,17,2,1,0,0,0,1,0,0,11,7,23,5,17,5,3,151,129,43,49,48,54,0,9,7,7,0,4992,5774,3646,1898,3720,1902,0,23,35,58,34,71,39,80,67,112,36,68,1
8,Columbus Blue Jackets,CBJ,Columbus,,,,Nationwide Arena,Metropolitan Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,6000,4760,1974,4000,917,0,0,0,0,0,0,0,0,0,0,82,3338661,384351,73795361,73795361,384351,17651,1238090,3338661,40,100,7978451,0,43,,41,12,0,,,False,0,False,8,49523600,70336233,75136740,,W2,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,4,10,8,1,1,0,0,0,0,0,0,4,3,9,2,17,3,1,96,91,29,36,27,33,0,3,1,6,0,4352,3769,2679,1535,2412,1275,0,10,14,24,34,37,30,67,34,58,22,38,0
9,Dallas Stars,DAL,Dallas,,,,American Airlines Center,Central Division,Western Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,5924,4479,1760,4000,884,0,0,0,0,0,0,0,0,0,0,82,3263958,362662,69631034,69631034,362662,17047,1199540,3263958,40,100,8052542,0,56,,45,6,0,,,False,0,False,9,47981600,66367146,70470144,,W3,3,0,0,0,0,0,0,3,2,0,0,1,0,0,0,6,16,9,1,1,0,0,0,0,0,0,7,2,14,4,7,2,0,89,102,43,29,29,30,1,4,9,2,1,3899,4155,2758,1374,2684,1456,0,16,25,41,14,49,29,72,32,55,19,42,0
10,Detroit Red Wings,DET,Detroit,,,,Little Caesars Arena,Atlantic Division,Eastern Conference,0,0,0,6000,5000,2000,4000,1000,100,60,35,25,200,17374,14049,5463,10723,2908,0,0,0,0,0,0,0,0,0,0,82,3388446,376494,72286870,72286870,376494,50517,3621220,3388446,40,100,10241658,0,166,,36,17,0,,,False,0,False,10,45868787,68898402,73861056,,OTL1,1,2,0,0,1,0,0,4,1,2,0,0,1,0,0,3,13,14,3,1,1,0,0,1,0,0,11,11,20,7,21,3,0,116,124,44,33,41,42,0,2,5,6,0,5556,5169,3825,2073,3070,1912,0,13,24,37,42,75,53,92,48,103,28,60,0
